Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1662272021,2022-09-04T06:13:41Z,WZZ4WK,"52.367474,13.506317",0,0,157
1662272117,2022-09-04T06:15:17Z,WZZ4WK,"52.367695,13.506165",0,7,157
1662272126,2022-09-04T06:15:26Z,WZZ4WK,"52.367935,13.505993",0,6,168
1662272134,2022-09-04T06:15:34Z,WZZ4WK,"52.368153,13.505898",0,6,199
1662272143,2022-09-04T06:15:43Z,WZZ4WK,"52.368359,13.505983",0,5,244
1662272152,2022-09-04T06:15:52Z,WZZ4WK,"52.368416,13.506219",0,5,247
1662272315,2022-09-04T06:18:35Z,WZZ4WK,"52.368359,13.505925",0,6,250
1662272321,2022-09-04T06:18:41Z,WZZ4WK,"52.368279,13.505592",0,8,247
1662272326,2022-09-04T06:18:46Z,WZZ4WK,"52.368206,13.505278",0,8,247
1662272335,2022-09-04T06:18:55Z,WZZ4WK,"52.368073,13.504753",0,10,250
1662272341,2022-09-04T06:19:01Z,WZZ4WK,"52.367958,13.504238",0,11,247
1662272347,2022-09-04T06:19:07Z,WZZ4WK,"52.367825,13.503649",0,13,250
1662272355,2022-09-04T06:19:15Z,WZZ4WK,"52.367638,13.502904",0,15,247
1662272362,2022-09-04T06:19:22Z,WZZ4WK,"52.367443,13.502102",0,13,247
1662272369,2022-09-04T06:19:29Z,WZZ4WK,"52.367306,13.50153",0,13,247
1662272372,2022-09-04T06:19:32Z,WZZ4WK,"52.367252,13.501275",0,12,253
1662272376,2022-09-04T06:19:36Z,WZZ4WK,"52.367271,13.500862",0,12,278
1662272381,2022-09-04T06:19:41Z,WZZ4WK,"52.367474,13.50051",0,13,320
1662272385,2022-09-04T06:19:45Z,WZZ4WK,"52.367695,13.500412",0,13,340
1662272391,2022-09-04T06:19:51Z,WZZ4WK,"52.36805,13.500195",0,15,340
1662272395,2022-09-04T06:19:55Z,WZZ4WK,"52.368324,13.5",0,15,337
1662272399,2022-09-04T06:19:59Z,WZZ4WK,"52.368534,13.499764",0,15,320
1662272403,2022-09-04T06:20:03Z,WZZ4WK,"52.368656,13.499355",0,15,295
1662272406,2022-09-04T06:20:06Z,WZZ4WK,"52.36866,13.499",0,15,267
1662272408,2022-09-04T06:20:08Z,WZZ4WK,"52.368591,13.498764",0,15,250
1662272411,2022-09-04T06:20:11Z,WZZ4WK,"52.368507,13.498459",0,15,247
1662272413,2022-09-04T06:20:13Z,WZZ4WK,"52.36845,13.498192",0,15,250
1662272415,2022-09-04T06:20:15Z,WZZ4WK,"52.368404,13.49796",0,15,250
1662272417,2022-09-04T06:20:17Z,WZZ4WK,"52.368336,13.497677",0,16,250
1662272421,2022-09-04T06:20:21Z,WZZ4WK,"52.368252,13.497352",0,17,247
1662272423,2022-09-04T06:20:23Z,WZZ4WK,"52.368183,13.497057",0,17,247
1662272429,2022-09-04T06:20:29Z,WZZ4WK,"52.367996,13.496272",0,18,250
1662272434,2022-09-04T06:20:34Z,WZZ4WK,"52.367836,13.495585",0,19,250
1662272442,2022-09-04T06:20:42Z,WZZ4WK,"52.367554,13.494429",0,21,247
1662272448,2022-09-04T06:20:48Z,WZZ4WK,"52.36731,13.493369",0,22,247
1662272455,2022-09-04T06:20:55Z,WZZ4WK,"52.367054,13.49233",0,23,250
1662272461,2022-09-04T06:21:01Z,WZZ4WK,"52.366825,13.491344",0,24,250
1662272467,2022-09-04T06:21:07Z,WZZ4WK,"52.366539,13.490143",0,26,250
