Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1668431955,2022-11-14T13:19:15Z,WZZ338,"52.367786,13.507481",0,0,157
1668431996,2022-11-14T13:19:56Z,WZZ338,"52.368008,13.507338",0,4,157
1668432008,2022-11-14T13:20:08Z,WZZ338,"52.368217,13.50718",0,4,163
1668432021,2022-11-14T13:20:21Z,WZZ338,"52.368427,13.507042",0,4,199
1668432035,2022-11-14T13:20:35Z,WZZ338,"52.368633,13.507195",0,4,241
1668432045,2022-11-14T13:20:45Z,WZZ338,"52.368694,13.507396",0,3,244
1668432098,2022-11-14T13:21:38Z,WZZ338,"52.368523,13.507063",0,1,247
1668432108,2022-11-14T13:21:48Z,WZZ338,"52.368988,13.507298",0,1,247
1668432113,2022-11-14T13:21:53Z,WZZ338,"52.369221,13.507533",0,1,247
1668432131,2022-11-14T13:22:11Z,WZZ338,"52.369499,13.507612",0,1,247
1668432141,2022-11-14T13:22:21Z,WZZ338,"52.368744,13.507533",0,0,247
1668432171,2022-11-14T13:22:51Z,WZZ338,"52.369221,13.507298",0,1,247
1668432177,2022-11-14T13:22:57Z,WZZ338,"52.368748,13.507538",0,0,247
1668432222,2022-11-14T13:23:42Z,WZZ338,"52.368694,13.507338",0,3,247
1668432229,2022-11-14T13:23:49Z,WZZ338,"52.368637,13.507121",0,5,247
1668432236,2022-11-14T13:23:56Z,WZZ338,"52.368587,13.506889",0,6,247
1668432242,2022-11-14T13:24:02Z,WZZ338,"52.368511,13.506592",0,7,247
1668432249,2022-11-14T13:24:09Z,WZZ338,"52.368416,13.506184",0,9,247
1668432254,2022-11-14T13:24:14Z,WZZ338,"52.368336,13.505827",0,10,250
1668432261,2022-11-14T13:24:21Z,WZZ338,"52.368233,13.505363",0,11,247
1668432266,2022-11-14T13:24:26Z,WZZ338,"52.368118,13.504906",0,12,247
1668432273,2022-11-14T13:24:33Z,WZZ338,"52.367992,13.504372",0,12,247
1668432278,2022-11-14T13:24:38Z,WZZ338,"52.367878,13.503933",0,11,247
1668432285,2022-11-14T13:24:45Z,WZZ338,"52.367764,13.503456",0,11,250
1668432292,2022-11-14T13:24:52Z,WZZ338,"52.367672,13.502998",0,9,250
1668432298,2022-11-14T13:24:58Z,WZZ338,"52.36758,13.502617",0,8,253
1668432305,2022-11-14T13:25:05Z,WZZ338,"52.367638,13.502197",0,10,284
1668432309,2022-11-14T13:25:09Z,WZZ338,"52.367775,13.501911",0,11,312
1668432317,2022-11-14T13:25:17Z,WZZ338,"52.36821,13.501625",0,13,340
1668432327,2022-11-14T13:25:27Z,WZZ338,"52.368813,13.501236",0,14,340
1668432332,2022-11-14T13:25:32Z,WZZ338,"52.369068,13.501079",0,12,340
1668432338,2022-11-14T13:25:38Z,WZZ338,"52.369381,13.500883",0,11,337
1668432344,2022-11-14T13:25:44Z,WZZ338,"52.369709,13.500765",0,11,351
1668432350,2022-11-14T13:25:50Z,WZZ338,"52.369995,13.5009",0,12,19
1668432355,2022-11-14T13:25:55Z,WZZ338,"52.37022,13.501177",0,12,36
1668432360,2022-11-14T13:26:00Z,WZZ338,"52.37043,13.501451",0,13,39
1668432363,2022-11-14T13:26:03Z,WZZ338,"52.370579,13.501663",0,14,39
1668432368,2022-11-14T13:26:08Z,WZZ338,"52.370819,13.501968",0,14,39
1668432372,2022-11-14T13:26:12Z,WZZ338,"52.371025,13.502235",0,14,39
1668432375,2022-11-14T13:26:15Z,WZZ338,"52.371174,13.502452",0,15,39
1668432382,2022-11-14T13:26:22Z,WZZ338,"52.371548,13.502982",0,15,42
1668432390,2022-11-14T13:26:30Z,WZZ338,"52.372013,13.503649",0,18,42
1668432394,2022-11-14T13:26:34Z,WZZ338,"52.372215,13.504124",0,19,59
1668432395,2022-11-14T13:26:35Z,WZZ338,"52.372284,13.504353",0,21,67
1668432397,2022-11-14T13:26:37Z,WZZ338,"52.37233,13.504562",0,22,70
1668432398,2022-11-14T13:26:38Z,WZZ338,"52.372383,13.504827",0,23,70
1668432408,2022-11-14T13:26:48Z,WZZ338,"52.373234,13.508416",0,76,70
1668432412,2022-11-14T13:26:52Z,WZZ338,"52.373665,13.510221",0,90,70
1668432424,2022-11-14T13:27:04Z,WZZ338,"52.37611,13.520482",0,140,68
1668432433,2022-11-14T13:27:13Z,WZZ338,"52.378738,13.531494",300,156,69
1668432441,2022-11-14T13:27:21Z,WZZ338,"52.380486,13.538923",650,158,68
1668432446,2022-11-14T13:27:26Z,WZZ338,"52.382206,13.545829",950,160,67
1668432454,2022-11-14T13:27:34Z,WZZ338,"52.38446,13.554688",1325,163,67
1668432460,2022-11-14T13:27:40Z,WZZ338,"52.386116,13.561445",1525,134,68
1668432466,2022-11-14T13:27:46Z,WZZ338,"52.387932,13.5689",1700,176,68
1668432472,2022-11-14T13:27:52Z,WZZ338,"52.389656,13.576591",1875,183,69
1668432478,2022-11-14T13:27:58Z,WZZ338,"52.391373,13.584366",2025,189,70
1668432484,2022-11-14T13:28:04Z,WZZ338,"52.392975,13.592072",2175,197,71
1668432490,2022-11-14T13:28:10Z,WZZ338,"52.394821,13.601152",2300,205,71
1668432496,2022-11-14T13:28:16Z,WZZ338,"52.396732,13.61057",2375,218,71
1668432502,2022-11-14T13:28:22Z,WZZ338,"52.398827,13.621007",2425,233,71
1668432508,2022-11-14T13:28:28Z,WZZ338,"52.400734,13.63058",2575,244,71
1668432514,2022-11-14T13:28:34Z,WZZ338,"52.403202,13.642116",2750,254,70
1668432520,2022-11-14T13:28:40Z,WZZ338,"52.405609,13.652878",2950,264,69
1668432526,2022-11-14T13:28:46Z,WZZ338,"52.408264,13.664246",3275,267,68
1668432532,2022-11-14T13:28:52Z,WZZ338,"52.410931,13.675467",3700,266,68
1668432538,2022-11-14T13:28:58Z,WZZ338,"52.413528,13.686142",4175,266,68
1668432544,2022-11-14T13:29:04Z,WZZ338,"52.416183,13.697128",4550,266,68
1668432552,2022-11-14T13:29:12Z,WZZ338,"52.42001,13.713527",5000,271,69
1668432562,2022-11-14T13:29:22Z,WZZ338,"52.423454,13.733695",5450,275,79
1668432565,2022-11-14T13:29:25Z,WZZ338,"52.423687,13.737932",5625,271,85
1668432568,2022-11-14T13:29:28Z,WZZ338,"52.423737,13.746109",5850,269,91
1668432571,2022-11-14T13:29:31Z,WZZ338,"52.423279,13.752289",6075,265,98
1668432574,2022-11-14T13:29:34Z,WZZ338,"52.422546,13.758087",6275,264,102
1668432577,2022-11-14T13:29:37Z,WZZ338,"52.421497,13.764064",6450,262,106
1668432580,2022-11-14T13:29:40Z,WZZ338,"52.420475,13.769087",6625,263,108
1668432583,2022-11-14T13:29:43Z,WZZ338,"52.419342,13.774414",6775,262,109
1668432586,2022-11-14T13:29:46Z,WZZ338,"52.418053,13.780309",7000,262,109
1668432589,2022-11-14T13:29:49Z,WZZ338,"52.416779,13.785934",7225,260,110
1668432592,2022-11-14T13:29:52Z,WZZ338,"52.415447,13.791687",7475,259,110
